detector_id;osm_id;lanes;highway;oneway;length;score
1561;7181;['2', '4'];primary;False;67.131;0.0019570049024905138
1562;7180;4;primary;False;117.17799999999998;0.0014742335451520497
1563;7283;4;primary;False;117.178;0.0022424039858936766
1564;127;4;primary;False;114.30499999999998;0.0009368008474524477
1565;11843;4;primary;False;114.30499999999999;0.0007398094452120213
1566;11842;4;primary;False;139.965;0.00041815073069348516
1567;132;4;primary;False;139.96499999999997;0.0012418558194317905
1568;13236;4;primary;False;109.02199999999999;0.001962086536616843
1569;7171;4;primary;False;109.022;0.00223759609598087
157;2594;4;primary;True;36.043;0.0009330953938400732
1570;7307;1;primary;True;41.542;0.000839542436472311
1571;7721;3;primary;True;30.386999999999997;0.004094531297963793
1572;14852;['2', '3'];primary;True;30.929;0.01226523076383019
1573;14411;4;primary;False;53.927;0.0022137522674105874
1575;8651;;secondary;True;131.692;0.0015187473532735482
1576;7394;;secondary;True;83.34700000000001;0.0018526166991118132
1577;14409;1;primary;True;129.865;4.494698039354922e-05
1578;11672;1;primary;True;96.224;0.0005497569342903441
1579;13231;1;primary;True;220.927;0.001124948633545497
158;2588;3;primary;True;85.535;0.0006734689129033404
1580;1684;1;primary;True;308.77000000000004;0.000322132162509418
1581;16017;1;primary;True;235.299;0.0007783924104486821
1582;16011;;primary;True;11.941;0.004035782929481841
1583;7294;;primary;True;155.89399999999998;0.0003394747526625527
1584;7752;;tertiary;True;108.519;0.014215082987037893
1585;13133;['3', '6'];secondary;True;135.864;0.008301858149550692
1586;7290;['2', '3'];secondary;True;187.59599999999998;0.004557865500383816
1587;300;['2', '1', '3'];secondary;True;233.73899999999998;0.0010256013103667001
1588;7288;2;secondary;True;103.797;0.00016958261074101198
1589;125;2;secondary;False;75.819;0.0005894710257072903
159;14179;3;primary;True;57.935;0.0013181974619944188
1590;7399;2;secondary;True;95.455;0.0016354372316559865
1591;4199;1;secondary;True;142.308;0.017561062541143136
1592;3169;3;secondary;True;188.943;0.0011414931568298518
1593;13772;;primary;True;202.152;0.0017259079008922647
1594;7304;2;primary;True;227.79499999999996;0.0007435400582490381
1595;146;1;primary;True;91.382;0.0006487474290142205
